# ruling(Main 2026-08-16): capability = 官方 8.2.0 包自身永久不可构建（指令缺失、属性合并拒绝、随包库缺失同属此类——库策略为逐字复用随包库，我方不造官方没有的库）；config = 工程/环境层可修。
# ruling-note(改判 2026-08-17, 审计 cb66c29): lib:missing 判 config；分区 capability=126/config=2。真机理：包内实有 6 份 libprintfloat.a（均在 multilib 子目录 rv32ec/ilp32e、rv32imac/ilp32、rv32imacxw/ilp32、rv32ecxw/ilp32e、rv32imafc/ilp32f、rv32imafcxw/ilp32f），CoreMark 的 -march=rv32imcxw 无对应 multilib、-print-multi-directory 回落默认目录 "."，默认库目录不含该库故 ld 找不到 -lprintfloat——属工程 march/库组合与包装 multilib 覆盖的配置层问题。原判据「树内无该库文件」被审计反证实验证伪，原行保留于历史（census-report §7(a) 预登记的移位口径按此兑现）。
# ruling-note(P2-21 裁定 2026-08-17, DECISIONS 4f5dedb, 用户裁定「缩减」): 排除粒度由工程级收紧为产物级——仅链接阶段失败的工程，其编译成功的 .o 全部进入收口 gate，只剔 .elf/.bin。本表 33 行（isa-attr:z-subset 31 + lib:missing 1 + link:region-overflow 1）的 keyword 列加 link-only: 前缀标注；class 列一字不动，capability=126 / config=2 分区继续由 class 列精确匹配推出。这 33 个工程的 .o 已入 gate，共 1684 只，行落 analysis/golden/8.2.0-darwin-arm64-full.tsv 的 P2-21 追加块（class=gate-link-only），扩展后 gate 总数 = 42285 + 1684 = 43969。证据 tmp/toolchain_8.2.0/evidence/s4/linkonly-extension/stage-a（run_id 20260816T235734.369403Z-72879；官方 r1/r2 双跑 33/33 逐字节一致；我方对拍 1684/1684 MATCH、DIFF=0、MISSING=0、EXTRA=0）。
# linkonly-objects(index:count, Σ=1684): 8:35, 9:31, 59:25, 60:25, 166:33, 251:31, 252:31, 253:31, 938:302, 1029:46, 1030:46, 1031:46, 1032:46, 1033:47, 1034:47, 1035:50, 1036:50, 1037:52, 1038:52, 1041:53, 1042:53, 1043:46, 1044:46, 1045:46, 1046:46, 1047:46, 1048:46, 1049:46, 1050:46, 1051:47, 1052:47, 1223:45, 1224:45
slug	class	keyword	first_error_excerpt	log_pointer
QingkeV2AC_CH32V00x/EXAM/APPLICATION/Motor/Electric_Fan/Electric_Fan.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32e1p9_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0008-QingkeV2AC_CH32V00x_EXAM_APPLICATION_Motor_Electric_Fan_Electric_Fan.wvproj/logs
QingkeV2AC_CH32V00x/EXAM/APPLICATION/Motor/Voilent_Fan/Voilent_Fan.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32e1p9_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0009-QingkeV2AC_CH32V00x_EXAM_APPLICATION_Motor_Voilent_Fan_Voilent_Fan.wvproj/logs
QingkeV2AC_CH32V00x/EXAM/TOUCHKEY/Touch_EX001/Touch_EX001.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32e1p9_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0059-QingkeV2AC_CH32V00x_EXAM_TOUCHKEY_Touch_EX001_Touch_EX001.wvproj/logs
QingkeV2AC_CH32V00x/EXAM/TOUCHKEY/Touch_EX002/Touch_EX002.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32e1p9_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0060-QingkeV2AC_CH32V00x_EXAM_TOUCHKEY_Touch_EX002_Touch_EX002.wvproj/logs
QingkeV3B_CH32V205/EXAM/APPLICATION/CoreMark/Coremark/CoreMark.wvproj	EXCLUDED-config	link-only:lib:missing	<TC>/bin/ld: cannot find -lprintfloat	tmp/toolchain_8.2.0/full-census/projects/0166-QingkeV3B_CH32V205_EXAM_APPLICATION_CoreMark_Coremark_CoreMark.wvproj/logs
QingkeV3B_CH32V205/EXAM/TKEY/TKEY_205_CS_EX002/TKEY_205_CS_EX002/TKEY_205_CS_EX002.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_c2p0_zmmul1p0_zba1p0_zbb1p0_zbc1p0_zbs1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0251-QingkeV3B_CH32V205_EXAM_TKEY_TKEY_205_CS_EX002_TKEY_205_CS_EX002_TKEY_205_CS_EX002.wvproj/logs
QingkeV3B_CH32V205/EXAM/TKEY/TKEY_205_CT_EX001/TKEY_205_CT_EX001/TKEY_205_CT_EX001.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_c2p0_zmmul1p0_zba1p0_zbb1p0_zbc1p0_zbs1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0252-QingkeV3B_CH32V205_EXAM_TKEY_TKEY_205_CT_EX001_TKEY_205_CT_EX001_TKEY_205_CT_EX001.wvproj/logs
QingkeV3B_CH32V205/EXAM/TKEY/TKEY_205_CT_EX002/TKEY_205_CT_EX002/TKEY_205_CT_EX002.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_c2p0_zmmul1p0_zba1p0_zbb1p0_zbc1p0_zbs1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/0253-QingkeV3B_CH32V205_EXAM_TKEY_TKEY_205_CT_EX002_TKEY_205_CT_EX002_TKEY_205_CT_EX002.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/ADC/ADC.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0294-QingkeV3C_CH587_EVT_EXAM_ADC_ADC.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/ARGB/ARGB.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0295-QingkeV3C_CH587_EVT_EXAM_ARGB_ARGB.wvproj/logs
