region_id	implementation_group	side_id	path	file_sha256	start_offset	end_offset_exclusive	byte_count	section_or_region	classification	semantic_mapping_id	static_candidate_ids	coverage_status	evidence_ids	notes
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0001	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	0	32	32	mach_header_64	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=08954c9497afe8aea0829ceb1816408e95f9e85573f06eea750fecd84c9d8947
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0002	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	32	104	72	LC_SEGMENT_64[0]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=38432a8fbcbe1ae9fdf9263fe1e4e948de98131833cc5e5333f375dcf5f6333f
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0003	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	104	736	632	LC_SEGMENT_64[1]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=8d19249e142f595f1a8fe6a737296fa058d08966c60132588258ebd3345e0298
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0004	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	736	968	232	LC_SEGMENT_64[2]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=ea9ca25a78fc2ff4f02dfe4a79e1b5fdbbbf9159763be3c3a1b9a955fe420900
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0005	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	968	1280	312	LC_SEGMENT_64[3]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=84ac7fae8149e4bb7ed8115342fa74881263b37850225bfefd5abd285efbe4d0
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0006	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1280	1352	72	LC_SEGMENT_64[4]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=2bf6dad1cc0696920e9f2a872858390fee042dec7eff5d8505f64f64db91deac
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0007	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1352	1368	16	LC_DYLD_CHAINED_FIXUPS[5]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=0b066c8f9dcb146311b6bb677532d2b3c729c8bf04aa59480dc2e3ecd831cfd9
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0008	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1368	1384	16	LC_DYLD_EXPORTS_TRIE[6]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=b41f80f40c7873af49d337b93a1c03143a6f49db21c3bd843e94237c920357a3
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0009	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1384	1408	24	LC_SYMTAB[7]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=2057ded5b6e50f4a926a49b952888e83fbd4e6ff0826ea2e57b696a9bce51a0d
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0010	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1408	1488	80	LC_DYSYMTAB[8]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=26b3acc2094e0e319945ce5ce739260e77f74fa8ce2c0886acf16fdbb67cd373
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0011	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1488	1520	32	LC_LOAD_DYLINKER[9]	PACKAGING/DEPENDENCY	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=44316cf4f366f41aa06996613c44af75e34479362928faf61a168c2a203b5999
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0012	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1520	1544	24	LC_UUID[10]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=da6cd5e82fca85890c1f20291a838dfedb9943dbd0af70aae8e83b387302e21e
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0013	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1544	1576	32	LC_BUILD_VERSION[11]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=06be0acc3151d0cb3a5720312a0ae05bf2376d394c98194de6f77801b59ab2e0
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0014	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1576	1592	16	LC_SOURCE_VERSION[12]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=01a60f1db7db041298aa3e269ff5ebea951aa6977963e4ab563905da906d2b82
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0015	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1592	1616	24	LC_MAIN[13]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=dfb2e7c262c93bdbe3471ef2359798698f758e2975ea2362dfbdb82f9dfcd602
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0016	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1616	1672	56	LC_LOAD_DYLIB[14]	PACKAGING/DEPENDENCY	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=1a489c8b895a1c5fa426d2f6bdf524fa8d9c8227923ea0a7bb3a194fd92823ea
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0017	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1672	1720	48	LC_LOAD_DYLIB[15]	PACKAGING/DEPENDENCY	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=7745a4d4639b8f1de3e38beb445632a5df37fca6950234b1d83a4278c5dd4c0e
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0018	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1720	1776	56	LC_LOAD_DYLIB[16]	PACKAGING/DEPENDENCY	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=ffa45af4ce6b7780727be9b2f2f9ca0b35932363e311b247d840ef9da1bdc1f5
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0019	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1776	1792	16	LC_FUNCTION_STARTS[17]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=2f5fa838acc64aea7cb290d200989688ce44ad356b6b21ebad703c4ef0ddeecf
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0020	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1792	1808	16	LC_DATA_IN_CODE[18]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=0d48df73e9e9c3c93e35d849055cd0b81e4337106a0b81bd00b04bc866e9a7d1
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0021	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1808	1824	16	LC_CODE_SIGNATURE[19]	SIGNATURE/UUID/BUILD-METADATA	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=a373db9f87171a31e6a3d656598adf88da2b87fe3f8cf682300e327251cc4b39
L1-REG-OURS-tmp__phase3c-driver__frozen-ours-primary__bin__c++-0022	GCC-DRIVER	OURS	tmp/phase3c-driver/frozen-ours-primary/bin/riscv32-wch-elf-c++	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	1824	1864	40	segment:__TEXT	UNRESOLVED	L1-FEAT-DRIVER	L1-STATIC-XW,L1-STATIC-XDIAG,L1-STATIC-ZSTD-SPEC	COMPLETE-TILING-UNRESOLVED	L1-macho-regions	ownership=PRIMARY; file_size=2192824; region_sha256=2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb
