file_id	package_denominator	path	implementation_group	component	scope	source_class	wch_type	wch_mode	wch_size	wch_sha256	p2_type	p2_mode	p2_size	p2_sha256	matched_status	ours_type	ours_mode	ours_size	ours_sha256	p2_comparison	ours_comparison	initial_classification	comparator_exists	evidence_ids
FILE-000001	WCH-PACKAGE	.	PACKAGE-ROOT	DIRECTORY	PACKAGE-INVENTORY	PACKAGE	DIR	755	0	-	DIR	755	0	-	PRESENT-DIR-IN-MATCHED-CONTROL	DIR	755	0	-	PRESENT-DIR	PRESENT-DIR	PACKAGING	true	T0-016,T0-017,T0-018
FILE-000002	WCH-PACKAGE	bin	PACKAGE-DIRECTORY	DIRECTORY	PACKAGE-INVENTORY	PACKAGING	DIR	755	0	-	DIR	755	0	-	PRESENT-DIR-IN-MATCHED-CONTROL	DIR	755	0	-	PRESENT-DIR	PRESENT-DIR	PACKAGING	true	T0-016,T0-017,T0-018
FILE-000003	WCH-PACKAGE	bin/libzstd.1.dylib	HOST-ZSTD	HOST-DEPENDENCY	ACCEPTANCE-GATE	PACKAGING/DEPENDENCY	FILE	777	670960	a63c44dbe4a0b7c8f21a039152b3c4b0b66d54cc1daeecc629ce02eee79f274e	MISSING	-	-	-	PRESENT-BYTE-EXACT-WCH;type=FILE;mode=755;size=670960;sha256=a63c44dbe4a0b7c8f21a039152b3c4b0b66d54cc1daeecc629ce02eee79f274e	MISSING	-	-	-	MISSING-IN-CONTROL	MISSING-IN-CONTROL	PACKAGING/DEPENDENCY-GAP-CANDIDATE	false	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000004	WCH-PACKAGE	bin/riscv32-wch-elf-addr2line	BINUTILS-ADDR2LINE	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	956976	4eb6c7a7e1fa8951cb0e8dd8bc5602922c5563323741ea10bbc5bef76526c635	FILE	755	1107656	2e03f12eb0f97db01df308be178bec09a0c568b73bd1209717b23af1e37caca7	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1113528;sha256=8c263a01e0bf06eaed3e557e4aa7c2c5c11b5f1c3203d259face2e29b1ec88c5	FILE	755	1107736	cca084cbaa62465dc67c780a031973e999a2b70e0a66eca5e62cb6f10e9b1be9	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000005	WCH-PACKAGE	bin/riscv32-wch-elf-ar	BINUTILS-ARCHIVE	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	992016	49d5fe7d7e2a9be2cb2fc7b0f9e0cccffffd0f222654f0fa0b79ed264b9200b7	FILE	755	1138624	374af498253a2da2e8fc0565321ae0655fbbf5e1c4c579602154fcffc796e21a	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1144992;sha256=36d25ca5fa4273e6c054023858ba76d57be488973a5a629abbf0b6512e2c5573	FILE	755	1138704	387fb971e26ff74125a383e265d7a14d9a3d73a1bb71a2ad9003a78ff6c6564d	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000006	WCH-PACKAGE	bin/riscv32-wch-elf-as	BINUTILS-GAS	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1501008	c958f65900a07d867c9321745990f2a9e83fbd7fa10a956e61cdb3735fb38152	FILE	755	1727112	36d5b962080a3214f9cc7d7e4b96727845ada1b7096e118373149a03f2983510	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1737664;sha256=ee61fb024382d826032679cc4bc36c0523e922b9b1fc2dc9b9966536ebca57e7	FILE	755	1727096	6af37017ed541c4754b507b08c21be8dc0058917a2e31265256854a0eb3a5aca	BYTE-DIFF	BYTE-DIFF	ANALYZED-GAP-AND-UNRESOLVED	true	T0-016,T0-017,T0-018,L3-045,L3-048,L3-169-matched-freeze,L3-158-poststate-audit
FILE-000007	WCH-PACKAGE	bin/riscv32-wch-elf-c++	GCC-DRIVER	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1899024	24bbe1fbba1a3a2dab43cc88f02fb5da18a28894ca890d1ad9a6c35d97ed70fc	FILE	755	2192824	289153b0353586113fe81fb94fadd0ac5d0e1b587c2adbcab657056c5a1c87f7	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2197080;sha256=e48bb3a628ec33819e596065b1a7c029f18473c15f90c9b8b08a300d6565517c	FILE	755	2192824	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	BYTE-DIFF	BYTE-DIFF	ANALYZED-WITH-UNRESOLVED-BINARY-REGIONS	true	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000008	WCH-PACKAGE	bin/riscv32-wch-elf-c++filt	BINUTILS-C++FILT	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	956880	02c007aa377a9c60718ce89128f3d74b69e6aab86c0d62411dade0a166eb99fb	FILE	755	1106808	e01d897499914161cb0d4a24116bcc179375e4869529b0367eb615933c9a07f9	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1112680;sha256=0ba280d6e4d4ee4c623fb7111cae4aada4e6ccdd3aa9d290f02b58c66856b1eb	FILE	755	1106888	2689cf4f91e2fa049694feedb160c62e52573833fb11b8d6b478c0a7d2512143	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000009	WCH-PACKAGE	bin/riscv32-wch-elf-cpp	GCC-DRIVER	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1899040	c9c578619653eb033d5972d6b854ffcf4e09e91d43f48cd02a7ccf2d6bba7c48	FILE	755	2192832	ab04ad91a1f1e2bec134f10a4290a355845ec2d4edf8e9f723c637666d337dbf	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2197088;sha256=ef8fe8324de89df8ed3a535c9e9a9ea7d17ae4cfe8bd592b6211689785659ca4	FILE	755	2192832	d3a365f6e2c5185ea2cd2a442ecdb08b58466ed1394193cfe4b9bd3610163d48	BYTE-DIFF	BYTE-DIFF	ANALYZED-WITH-UNRESOLVED-BINARY-REGIONS	true	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000010	WCH-PACKAGE	bin/riscv32-wch-elf-elfedit	BINUTILS-ELFEDIT	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	88720	7e4ad068aeefe5d025035ea9040015e2cbf2ebd5c0d963ca5eaf7fc57928262d	FILE	755	78728	ac3fecb35f9044f2b60ca4555ddbd8e4a688ad0aec2412b5efa15a1ea028950f	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=79704;sha256=7244e812fea487a7321846ae609a1ded98032e986ff0bf1a477b320bdfd74b38	FILE	755	78728	bc1816768d692b7aa47d5b77f0df6ebfab88f87bca6746bb811d7d6a93b1c5fd	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
