file_id	denominator_id	path	implementation_group	component	artifact_role	wch_darwin_type	wch_darwin_mode	wch_darwin_size	wch_darwin_sha256	wch_linux_status	wch_linux_type	wch_linux_mode	wch_linux_size	wch_linux_sha256	upstream_release_status	upstream_release_type	upstream_release_mode	upstream_release_size	upstream_release_sha256	upstream_build_status	upstream_build_type	upstream_build_mode	upstream_build_size	upstream_build_sha256	darwin_linux_comparison	wch_upstream_release_comparison	wch_upstream_build_comparison	comparator_exists	classification	evidence_ids
P3E-FILE-001	WCH-GDBSIM-DARWIN-32	bin/riscv32-wch-elf-gdb	GDB-SIM	GDB	HOST-EXECUTABLE	FILE	777	8473840	36c2af43ea908208aa8616aeb710b0f8b6819537e51f0402c05c0c0e74d137ef	PRESENT	FILE	755	10994664	3b9ba1b694a8e73a43b6bbc5f360abca58203f224b8933d69f0dd1b2516163f1	SOURCE-BASELINE-NO-BINARY-ARTIFACT	N/A	-	-	-	PRESENT	FILE	755	11603296	c4c3d21880ebc0c2b3d4fc3173b6445d53e4f5a4f90c9c46b6e6bc712ee2be38	BYTE-DIFF	MATCHED-BUILD-COMPARATOR	BYTE-DIFF	true	FUNCTIONAL-XW-CUSTOM32+HOST-CONFIG/CODEGEN	LGDB-0049,LGDB-0104..0105,LGDBCLEAN-0014,LGDBCLEAN-0017,LGDBCLEAN-0021..0022
P3E-FILE-002	WCH-GDBSIM-DARWIN-32	bin/riscv32-wch-elf-gdb-add-index	GDB-SIM	GDB-AUX	AUXILIARY-SCRIPT	FILE	777	5712	426a845e2bd3f7e086f3fe64dffbc829f3ea0927e0576acd21836a4f24611b0c	PRESENT	FILE	755	5712	426a845e2bd3f7e086f3fe64dffbc829f3ea0927e0576acd21836a4f24611b0c	PRESENT	FILE	755	5723	f3d96b8580295862e598778a5510a7fb7666673394330bdf7f884162c1eb19ef	PRESENT	FILE	755	5712	426a845e2bd3f7e086f3fe64dffbc829f3ea0927e0576acd21836a4f24611b0c	BYTE-EXACT-MODE-DIFF	BYTE-DIFF	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-003	WCH-GDBSIM-DARWIN-32	bin/riscv32-wch-elf-gstack	GDB-SIM	GDB-AUX	AUXILIARY-SCRIPT	FILE	777	3034	d5b26a26b10750e88da789c54b09bef3d9f85e84501c74865d8ec47cf7cd58a9	PRESENT	FILE	755	3034	d5b26a26b10750e88da789c54b09bef3d9f85e84501c74865d8ec47cf7cd58a9	PRESENT	FILE	755	3045	82b11c46da553a44e3fe3da8d7c207d8091205bb6fb25fbf27d26b58134f4ec5	PRESENT	FILE	755	3034	d5b26a26b10750e88da789c54b09bef3d9f85e84501c74865d8ec47cf7cd58a9	BYTE-EXACT-MODE-DIFF	BYTE-DIFF	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-004	WCH-GDBSIM-DARWIN-32	bin/riscv32-wch-elf-run	GDB-SIM	SIM	HOST-EXECUTABLE	FILE	777	1498576	32e53fb278d4c784563f604568b2240e50134f543f29760ffcc974a9357eb96f	PRESENT	FILE	755	2095128	2257769265701ddce5a9f304a01b91364731126f6d21e7e30dbd1d660193bdc2	SOURCE-BASELINE-NO-BINARY-ARTIFACT	N/A	-	-	-	PRESENT	FILE	755	1762208	44df3af6daaf5021af69ab793dc724c63bdc069dc7466f177816d23622c6f22d	BYTE-DIFF	MATCHED-BUILD-COMPARATOR	BYTE-DIFF	true	FUNCTIONAL-DATA-TABLE+CONFIGURE/CAPABILITY+HOST-CODEGEN	LSIMC-0027..0028,LGDBCLEAN-0013,LGDBCLEAN-0026
P3E-FILE-005	WCH-GDBSIM-DARWIN-32	include/gdb	GDB-SIM	GDB	PUBLIC-HEADER-OR-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	PRESENT-SOURCE-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	DIRECTORY-BOTH	SOURCE-DIRECTORY-PRESENT	DIRECTORY-BOTH	false	PACKAGE-DIRECTORY	T1-002,T1-003,T1-004
P3E-FILE-006	WCH-GDBSIM-DARWIN-32	include/gdb/jit-reader.h	GDB-SIM	GDB	PUBLIC-HEADER-OR-DIRECTORY	FILE	777	12080	5d38290a8a961192c68a37304009172845bae8d79db93a39990f78029d8266e4	PRESENT	FILE	755	12080	5d38290a8a961192c68a37304009172845bae8d79db93a39990f78029d8266e4	PRESENT	FILE	644	12079	6559d78f64f4bcbb3d7847c48e1ced1f810cc97bd3f27c2a5c3f79c26b1a683e	PRESENT	FILE	644	12080	5d38290a8a961192c68a37304009172845bae8d79db93a39990f78029d8266e4	BYTE-EXACT-MODE-DIFF	BYTE-DIFF	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-007	WCH-GDBSIM-DARWIN-32	include/sim/callback.h	GDB-SIM	SIM	PUBLIC-HEADER	FILE	777	12471	1ed5c0a5292eac093cc0d003b9978e2e5c6c8ffc9ec2d6d1649e1d47a6cece21	PRESENT	FILE	755	12471	1ed5c0a5292eac093cc0d003b9978e2e5c6c8ffc9ec2d6d1649e1d47a6cece21	PRESENT	FILE	644	12471	1ed5c0a5292eac093cc0d003b9978e2e5c6c8ffc9ec2d6d1649e1d47a6cece21	PRESENT	FILE	644	12471	1ed5c0a5292eac093cc0d003b9978e2e5c6c8ffc9ec2d6d1649e1d47a6cece21	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-008	WCH-GDBSIM-DARWIN-32	include/sim/sim.h	GDB-SIM	SIM	PUBLIC-HEADER	FILE	777	9971	e7a3b36068016d662cff0eec13e0dce06f54e91147883bf71d247cdc3852ba3f	PRESENT	FILE	755	9971	e7a3b36068016d662cff0eec13e0dce06f54e91147883bf71d247cdc3852ba3f	PRESENT	FILE	644	9971	e7a3b36068016d662cff0eec13e0dce06f54e91147883bf71d247cdc3852ba3f	PRESENT	FILE	644	9971	e7a3b36068016d662cff0eec13e0dce06f54e91147883bf71d247cdc3852ba3f	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-009	WCH-GDBSIM-DARWIN-32	lib/libriscv32-wch-elf-sim.a	GDB-SIM	SIM	STATIC-ARCHIVE	FILE	777	5873448	e29cfdb086cc1a95b51fa4e531999bbc5de8e2e08e9c36eb6ee2f719d203d5e3	PRESENT	FILE	755	13222344	3f061e99ada4ec1912e24597f17fbe77724720e0d91ac085bb9a40e8f715fb8c	SOURCE-BASELINE-NO-BINARY-ARTIFACT	N/A	-	-	-	PRESENT	FILE	644	5759216	a16174679be1bc01b2e8a025ffe92449cb5ca3aa7df0edd060ca9c4b392bd59c	BYTE-DIFF	MATCHED-BUILD-COMPARATOR	BYTE-DIFF	true	FUNCTIONAL-DATA-TABLE+PACKAGING/DEPENDENCY+HOST-CODEGEN	LSIMC-0027..0028,archive-r2
P3E-FILE-010	WCH-GDBSIM-DARWIN-32	share/gdb	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	PRESENT-SOURCE-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	DIRECTORY-BOTH	SOURCE-DIRECTORY-PRESENT	DIRECTORY-BOTH	false	PACKAGE-DIRECTORY	T1-002,T1-003,T1-004
