component	patch	stable_patch_id	source_commit
gcc	0001-riscv-configure-WCH-12.2-multilib-set.patch	049e169556f8bca2e304b5f53b7158508ebb98eb	0e3a61c5810f118b4a4864bb96b1faf6acbdc866
gcc	0002-Backport-safe-ctype-include-ordering-for-recent-libc.patch	f9c295458feee6312f82082372783be9284e1232	c528a71285c07744fb5b33c5852ba27a77ecd8cc
gcc	0003-RISC-V-test-unversioned-WCH-XW-march-strings.patch	658232c045bf0fad679937d8ebb64f7d7be209ec	67fe9e81f4376eab5fe4ae6eed31775602eb59ee
gcc	0004-RISC-V-recognize-RV32-Zbs-single-bit-constant-moves.patch	ce64aee9287154b784ab7151b68658926583df7b	c77cce413d4383df3ecc2700e731f2e0f9f22858
gcc	0005-RISC-V-implement-WCH-hardware-saved-fast-interrupts.patch	ca55a8c1e6f60d5c13bfa12cfcdcbad42aab8dba	bd629f503783b2db15f606c30d63afdfcb480464
gcc	0006-RISC-V-generate-multiply-instructions-for-Zmmul.patch	5879f3358bf575018371c84089bbeea60d255271	49bf9728df0e340b850cfe440533b8176f2e6d6f
gcc	0007-RISC-V-recognize-the-RV32-sign-bit-in-Zbs-masks.patch	fc35db10fbd6f881f4594918403380c393a90e03	9e6a5bb34c6c55680ce882fdaabe494fe4d98417
gcc	0008-RISC-V-truncate-RV32-integer-building-intermediates.patch	3ca93f686f2133c32984ed8b2baa1fd7e5d5b43c	86c40fd2b84f60b670f05d6241ff3e09150d61c7
gcc	0009-gcc-implement-WCH-highcode-section-splitting.patch	7a8a402a603cf534187d3af700effd9e05b7cdc4	9731e5ee701047373429a191b45a6f07f3e149a7
binutils	0001-RISC-V-accept-WCH-XW-1.0-arch-attributes.patch	12cb396ce805e083f30823b1af0c4218c9b3d657	8b704197c940ba72df884f700078cd9414de28bc
binutils	0002-RISC-V-add-Zmmul-1.0-instruction-subset.patch	6c2aaf7ce52508df6b92b6d169c0990a51453b2b	30e5ed13cb51eade879b553919b6270df0d60370
binutils	0003-RISC-V-assemble-WCH-custom-32-bit-instructions.patch	f666acbb7f5439edb28c940caeada4e08c23db61	391d633da717e6781c9c7839d31d285c7a2f9ea4
binutils	0004-RISC-V-add-WCH-XW-compressed-load-and-store-forms.patch	118709c23c3e83dd635397d3152516efc2f55cc5	61c714e63402ed647ce1c1492424324813e69100
binutils	0005-RISC-V-gate-finish-time-privilege-attributes-on-w_pr.patch	8c3f6a5582730e0a3433a157c316576b8cffad49	4c7e23190c441d148cf87d34df32e453228265d2
binutils	0006-RISC-V-restrict-WCH-vendor-extensions-to-the-observe.patch	579a84ed44b0d6db5e64b343c90dc7eb381d7fec	5aeff235f3666176eeafc9aa4456a4e801714b49
binutils	0007-RISC-V-emit-the-WCH-soft-library-ELF-flag.patch	43b4a7e0e49b0a0fef30ac1deec68b0e977ca669	c397a553b1ab0bb3a7063077a825da74dd34519a
