schema_version	path	sha256	query_set	query_id	page	match_count_on_page	excerpt
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	csr-address-meaning	109	2	RISC-V 特权架构文档中定义的标准寄存器外，还增加了一些厂 商自定义寄存器，需要使用 csr 指令进行访问。 注：此类寄存器标注为“MRW,MRO,MRW1”属性的需要系统在机器模式下才能访问。 9.5.3.1 中断系统控制寄存器（INTSYSCR）     CSR 地址：0x804 31       30     29   28       27   26   25    24         23   22     21    20      19    18      17      16                                               Reserve
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	30	1	perpheral clock enable 注：（1）CH32V203RB（CH32V20x_D8）产品外接晶体或时钟（HSE）为 32M，使用外置晶体时无需负 载电容已内置。 （2）上图 3-4 中蓝色虚线框出来的部分仅适用于批号倒数第五位大于 0 的 CH32V203RB 芯片。 V2.5                                                                          27
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	37	1	https://wch.cn                                              注：此功能不适用于批号倒数第五位等于 0 的                                              CH32V20x_D6 芯片。                                              外部高速晶体旁路控制位：                                              0：不旁路高速外部
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	38	2	PLLCLK=240MHz ， 仅 适 用 于 CH32V20x_D8W/                                    CH32F20x_D8W 以及 CH32V20x_D8 批号倒数第五位大于   [23:22] USBPRE[1:0]         RW                                                   00b                                    0 的）。                                    注：CH32V20x_D8W
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	80	1	-2    固定          Ecall-U            用户模式回调中断         0x00000020   9          -1    固定         BreakPoint            断点回调中断         0x00000024                                                                    0x00000028- 10-11        -      -             -                    保留
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	81	1	Ecall-U               用户模式回调中断              0x00000020   9      -1      固定           BreakPoint              断点回调中断               0x00000024 10-11    -        -               -                        保留              0x00000028- V2.5                                        78
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	83	1	固定            Ecall-U             用户模式回调中断           0x00000020   9      -1      固定           BreakPoint             断点回调中断           0x00000024                                                                       0x00000028- 10-11    -        -               -                     保留
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	85	1	Ecall-U               用户模式回调中断              0x00000020   9      -1      固定           BreakPoint              断点回调中断               0x00000024                                                                            0x00000028- 10-11    -        -               -                       保留
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	87	1	2      固定            Ecall-U            用户模式回调中断          0x00000020   9      -1      固定           BreakPoint           断点回调中断           0x00000024                                                                     0x00000028- 10-11    -        -               -                   保留
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	111	16	0                                                       1：根据中断编号*4 进行地址偏移。 9.5.4 物理内存保护单元（PMP）   为了提高系统安全，RISC-V 的架构中定义了一套物理地址访问限制，可以为区域内物理内存设置 其读、写、执行属性，区域长度最小 4 字节保护。PMP 单元在用户模式下一直生效，在机器模式下可 选生效，如果违背了当前内存限制，将会产生系统异常中断（EXC）。   PMP 单元包含 4 组 8-bit 的配置寄存器（32bit）和 4 组地址寄存器，需要
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	112	27	https://wch.cn    00b          OFF    没有区域要保护                        顶端对齐区域保护：                        pmp0cfg 下，0≤ region ＜pmpaddr0；                        pmp1cfg 下，pmpaddr0≤ region ＜pmpaddr1；    01b          TOR    pmp2cfg 下，pmpaddr1≤ region ＜pmpaddr2；                        pmp3cfg
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	113	4	描述                                  复位值   [31:0]        ADDR2[31:0]               MRW        PMP 设置地址 2 的 bit[33:2]，实际高 2 位未用。                                   0 9.5.4.5 PMP 地址 3 寄存器（PMPADDR3）     CSR 地址：0x3B3 31         30    29    28     27     26         25     24
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	118	1	Protection                                                             trigger                                                                              on/off                      diode         Write   Bit set/reset                      Input driver
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	119	1	Protection                                                          trigger                                                                         on/off               diode          Write    Bit set/ reset                 Input driver
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	120	2	TTL Schmitt                                                               trigger                                     Protection                                                                                                           diode          Write Bit
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	121	1	TTL Schmitt                                                                trigger                             Protection                                                                                                    diode            Write   Bit set/reset
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	124	1	32V203CxU6、CH32V203K8T6、 CH32V203G6U6、CH32V203F6P6 芯片；对于 CH32V20x_D8 系列芯片 CH32V203RBT6 只有 OSC_IN 和 OSC_OUT 功能脚，不支持映射。 注：批号倒数第五位小于 4 且倒数第六位等于 0 的 CH32V307R，CH32V305R，CH32V305G，CH32V305F， CH32V303C，CH32V303R，CH32F205R，CH32F203R，CH32F203C 芯片，PD0、PD1 做普通引脚时，外部中 断/事件功能没有被映射，不能用来产生外部中断/事件。 10.2.11.3 定时器复用功能重映射
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	127	1	CH32F/V20x_V30x_V31x 系列应用手册                                                           https://wch.cn 芯片批号倒数第五位等于大于 2 或批号倒数第六位不等于 0。  （2）仅 LQFP100 封装，支持该位重映射功能。                               表 10-26 USART4 复用功能重映射                    （1）        USART4_RM=00         USART4_RM=01            U
2	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	finding	h417-lot-capability	130	3	FSMC_NADV                         PB7                      PD2 注：（1）当 FSMC_NADV=1 时禁止 FSMC_NADV 输出。   （2）批号倒数第五位小于 2 且批号倒数第六位等于 0 的不支持该功能。                                  （1） 10.2.11.11 DVP 复用功能重映射                                  表 10-43 DVP 复用功能重映射
