schema_version	path	sha256	token_occurrences	distinct_tokens	samples	limit
2	tmp/wch-evt/evt/QingkeV2A_CH32V003_EVT/PUB/CH32V00xSCH.pdf	c05d96a7790f760f7f2c5ca6d9864017c4a6a38254c2558889dddf92e816173b	60	18	PA1;PA2;PC0;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PD0;PD1;PD2;PD3;PD4;PD5;PD6;PD7	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/PUB/CH32V00XSCH.pdf	b7ee4a2d12170c061370d1d51f9e68e7f7d5bc2d827f766221d258d3b59a6fc0	601	31	PA0;PA1;PA2;PA3;PA4;PA5;PA6;PA7;PB0;PB1;PB2;PB3;PB4;PB5;PB6;PC0;PC1;PC2;PC3;PC4	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/PUB/CH32V205SCH.pdf	17689742601852f06338278cddd72d0d2e992fded3e53fd1c4f18bbda2ca6ed2	665	98	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;PA0;PA1;PA10;PA11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3A_CH32V103_EVT/PUB/CH32V103SCH.pdf	9e63334179d882220f48d51f9ea76d121c1c9cad9c1e5e406aa6263ffbec985d	635	69	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;PA0;PA1;PA10;PA11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/PUB/CH32V205SCH.pdf	17689742601852f06338278cddd72d0d2e992fded3e53fd1c4f18bbda2ca6ed2	665	98	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;PA0;PA1;PA10;PA11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587SCH.pdf	ec32c5f5576ad51e03e8206fa4111ba109409d00c15543b515d46ddeb24396e6	130	40	PA0;PA1;PA10;PA11;PA12;PA13;PA14;PA15;PA2;PA3;PA4;PA5;PA6;PA7;PA8;PA9;PB0;PB1;PB10;PB11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/¿∂—¿–æ∆¨µƒµÁ¬∑º∞PCB…Ëº∆µƒ÷ÿ“™◊¢“‚ ¬œÓ.pdf	fa38487e29d9cf778512e51ae1865b63205f4b9b097278dd841df1bcdc484c81	0	0		text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3F_CH32X315_EVT/PUB/CH32X3x5SCH.pdf	b4eb523bda7884f32b7ea2bd70ce7aad69c92ce42be9d4ff8d7d91ccc31e6469	829	114	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC16;ADC17;ADC18;ADC19;ADC2;ADC20;ADC21;ADC22;ADC23;ADC24;ADC25;ADC26	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/PUB/CH32V4x7SCH.pdf	fe2cf67a94ff4dcdff6da63b9a925d6701f74ad401613f06db6d5a0412c6b3be	1722	97	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;DAC0;DAC1;PA0;PA1	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/PUB/CH32V20xSCH.pdf	7e8e8b99ea7a58aad187864d0201fc40c23afb7ad07d2017463111c1717eaaec	1839	73	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;PA0;PA1;PA10;PA11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV4C_CH32V20x_EVT/PUB/CH32V20xSCH.pdf	7e8e8b99ea7a58aad187864d0201fc40c23afb7ad07d2017463111c1717eaaec	1839	73	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;PA0;PA1;PA10;PA11	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/PUB/CH32V30xSCH.pdf	326f627e19cc307b6a6956ba0882d5f20011f7839e144432463d4c1b39b70fea	2417	100	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;DAC0;DAC1;PA0;PA1	text tokens prove partial extractability, not complete graphical coverage
2	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/PUB/CH32H417SCH.pdf	5506439d08953413d813e3bc45ea566e4cdd5d1f34bcfd91de6078f5d862e62e	1134	115	ADC0;ADC1;ADC10;ADC11;ADC12;ADC13;ADC14;ADC15;ADC2;ADC3;ADC4;ADC5;ADC6;ADC7;ADC8;ADC9;DAC1;DAC2;PA0;PA1	text tokens prove partial extractability, not complete graphical coverage
