schema_version	evidence_family	physical_path	archive_sha256	logical_order	member_name	same_name_ordinal	member_sha256	member_size
2	iochub	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	cedb89923fe4567a76ab2501157a08ae78d948816b966ab1cf64d50983d9a8e9	1	IocHub.o	1	b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c	84000
2	wchnet	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/libwchnet.a	5c1feadcc555ecf39d529bfe2945737ec917d8e310a8b526fb19485902b3cd84	24	eth_api.o	1	0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4	8636
2	wchnet	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/libwchnet.a	5c1feadcc555ecf39d529bfe2945737ec917d8e310a8b526fb19485902b3cd84	52	eth_api.o	2	0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4	8636
2	wchnet	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/NetLib/libwchnet.a	14399fe676c827a4bd9a0e63afb7323d1c2af1b3dcdc51272564920d0f88dbfd	24	eth_api.o	1	0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca	8764
2	wchnet	tmp/wch-evt/evt/QingkeV4C_CH32V20x_EVT/EXAM/ETH/NetLib/libwchnet.a	14399fe676c827a4bd9a0e63afb7323d1c2af1b3dcdc51272564920d0f88dbfd	24	eth_api.o	1	0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca	8764
2	iochub	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	cedb89923fe4567a76ab2501157a08ae78d948816b966ab1cf64d50983d9a8e9	1	IocHub.o	1	b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c	84000
2	wchnet	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	c07ee325856aef01b204830e60118b83286450f9e0066e78c9e74ac7d49047f2	24	eth_api.o	1	0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca	8764
2	wchnet	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	c07ee325856aef01b204830e60118b83286450f9e0066e78c9e74ac7d49047f2	52	eth_api.o	2	0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca	8764
2	wchnet	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet_float.a	e9e1843f40d1f0661a15bce694bb4d4c3b20426ebaa314f7f74eb151d98e15fd	24	eth_api.o	1	845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d	8316
2	wchnet	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet_float.a	e9e1843f40d1f0661a15bce694bb4d4c3b20426ebaa314f7f74eb151d98e15fd	52	eth_api.o	2	845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d	8316
2	iochub	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	cedb89923fe4567a76ab2501157a08ae78d948816b966ab1cf64d50983d9a8e9	1	IocHub.o	1	b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c	84000
2	wchnet	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	e99a305caa361c497660fa57ca434f061dbe678c9aaefe6dd011764ca96c27cb	24	eth_api.o	1	0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4	8636
2	wchnet	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	e99a305caa361c497660fa57ca434f061dbe678c9aaefe6dd011764ca96c27cb	52	eth_api.o	2	0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4	8636
