schema_version	image_path	slot	slot_address	value	classification	valid_seed
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0	0x00040034	0x0006704c	data-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	1	0x00040038	0x20005e2a	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	2	0x0004003c	0x200006e4	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	3	0x00040040	0x2000072a	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	4	0x00040044	0x200006d0	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	5	0x00040048	0x200006be	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	6	0x0004004c	0x200006b0	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	7	0x00040050	0x20000786	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	8	0x00040054	0x200008e6	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	9	0x00040058	0x2000092a	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	10	0x0004005c	0x20000aee	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	11	0x00040060	0x0004a38e	function-pointer	true
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	12	0x00040064	0x20000f8c	function-pointer	false
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	13	0x00040068	0x20000e9e	function-pointer	false
