schema_version	image_path	address	length	classification	first_halfword_hex
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x000406f8	6	known-prefix	1f00
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041216	8	known-prefix	3f82
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041976	6	known-prefix	1f80
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x000419a2	6	known-prefix	df89
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041bdc	20	known-prefix	7fd8
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041c7a	6	known-prefix	9fce
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041d44	18	known-prefix	ffc1
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00041d84	16	known-prefix	ffbd
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x0004282a	6	known-prefix	5fe7
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00042906	6	known-prefix	df8c
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00043bd0	8	known-prefix	bf0c
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x000449d2	6	known-prefix	1ff9
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044b12	6	known-prefix	1fe5
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044bc8	8	known-prefix	bfd9
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044cd6	6	known-prefix	dfc8
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044d34	18	known-prefix	ffc2
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044da8	8	known-prefix	bfbb
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044e14	16	known-prefix	ffb4
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044e7a	6	known-prefix	9fae
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044ece	6	known-prefix	5fa9
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044efc	14	known-prefix	7fa6
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044f1e	6	known-prefix	5fa4
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	0x00044f2a	6	known-prefix	9fa3
