schema_version	cohort	archive_sha256	representative_path	producer_tool	profile	attrs_present	boundary_xw_occurrences	boundary_xw_distinct	raw_directive_occurrences	fld_fsd_occurrences	objdump_returncode
2	evt	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	gcc15-macos	xw2p2	true	185	107	185	0	0
2	evt	14399fe676c827a4bd9a0e63afb7323d1c2af1b3dcdc51272564920d0f88dbfd	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/NetLib/libwchnet.a	gcc15-macos	xw-version-undeclared	false	1137	525	15	1122	0
2	evt	2270c4118b5f2cad60277d0333c482ba7f0d03c8fd3178b503c870da6046c7e7	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/APPLICATION/Motor/Electric_Fan/User/libM12014SV_M007_LIB_20250115.a	gcc15-macos	xw2p2	true	98	66	98	0	0
2	evt	30ae6bbe3f06283aa0e4091db2b1f73a0e4e24d007ecebe2d9d4593a847781d6	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/BLE/LIB/libwchble.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	354640cb9f4bcfac887826638f636a7d085ec907731cb44ff65530bf50154382	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/USBFS/Host/Udisk_Lib/libRV3UFI.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	3b18e5ed35dc2e11017de5060fb19144a6aa3d7402ccaa095d432eec3cd686e6	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/MESH/MESH_LIB/libMESH.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	4a3bdf9d9f4ac1cdfcda58f7415dcf9e00686b7d44a0d10f89a746894161a07b	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TOUCHKEY/TKYLIB/libCH32V00X_TOUCH.a	gcc15-macos	xw2p2	true	130	94	130	0	0
2	evt	53722f39931645020952a2fb5352696f95c3e5ea5f9d28e69f5360e32b718449	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/TOUCH/TKYLIB/libCH587_TOUCH.a	gcc15-macos	xw2p2	true	250	125	250	0	0
2	evt	5c1feadcc555ecf39d529bfe2945737ec917d8e310a8b526fb19485902b3cd84	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/libwchnet.a	gcc15-macos	xw2p2	true	2320	536	2320	0	0
2	evt	881ca4e1c22ac6b147a89ed75fe0c966152dca92d1c105b6b87ea75320e3ea1e	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/APPLICATION/Motor/Electric_Fan/User/libIQMath_RV32EC_ZMMUL_XW.a	gcc15-macos	xw2p2	true	13	9	13	0	0
2	evt	8e4f77d6b7e11ad5268cec1e92106c8630b7d818f305f2f311a823a33a7fb428	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/APPLICATION/Motor/Voilent_Fan/User/libvoilent_fan_SRC-Lib.a	gcc15-macos	xw2p2	true	81	51	81	0	0
2	evt	9091442e4b753fc1feaed2b2f3f96aba5640d54cb3ae250d13fcb6f0b7b072d6	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/VoiceRcgExam/VoiceRcgExam/User/libVoiceRcg.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	ad61ec57d936d2bf9cd75e718ad9a473e3c9cf2291b21223602791b6d25e81bf	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/libCH58xBLE.a	gcc15-macos	xw2p2	true	5592	1482	5592	0	0
2	evt	ba3d82229fb12d016153646d2df1d839a1c7c6b68fae7656e88c96274376a5d0	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/APPLICATION/Motor/Voilent_Fan/User/IQmath_RV32.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	c07ee325856aef01b204830e60118b83286450f9e0066e78c9e74ac7d49047f2	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	gcc15-macos	xw-version-undeclared	false	2274	525	30	2244	0
2	evt	cae5e0c617a6c6706c2e3174de4cad51e426e3c425980c8f98931933525f1195	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/UHSIF/UHSIF_SLAVE/Common/libUHSIF.a	gcc15-macos	xw2p2	true	14	12	14	0	0
2	evt	cedb89923fe4567a76ab2501157a08ae78d948816b966ab1cf64d50983d9a8e9	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	gcc15-macos	xw-version-undeclared	false	0	0	0	0	0
2	evt	e99a305caa361c497660fa57ca434f061dbe678c9aaefe6dd011764ca96c27cb	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	gcc15-macos	xw2p2	true	2320	536	2320	0	0
2	evt	e9e1843f40d1f0661a15bce694bb4d4c3b20426ebaa314f7f74eb151d98e15fd	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet_float.a	gcc15-macos	xw-version-undeclared	false	2274	525	30	2244	0
2	evt	eb825c76b58d2ce7a6d522a47f0c47a4aee5ee2ef242607f013c5749d975ba83	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/TKey/TKEYLIB/libCH32H417_TOUCH.a	gcc15-macos	xw2p2	true	171	122	171	0	0
