schema_version	archive_sha256	representative_path	member	section	offset	halfword_hex	form	objdump_mnemonic	rendering
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	36	0x3f9e	c.lhu	.insn	.insn 2, 0x3f9e
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	42	0xa19c	c.sb	.insn	.insn 2, 0xa19c
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	126	0xbf92	c.sh	.insn	.insn 2, 0xbf92
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	146	0x3f96	c.lhu	.insn	.insn 2, 0x3f96
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	156	0xbf96	c.sh	.insn	.insn 2, 0xbf96
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	180	0x3f96	c.lhu	.insn	.insn 2, 0x3f96
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	188	0x3f9a	c.lhu	.insn	.insn 2, 0x3f9a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	256	0x3f9a	c.lhu	.insn	.insn 2, 0x3f9a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	268	0xbf92	c.sh	.insn	.insn 2, 0xbf92
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	298	0x3f9a	c.lhu	.insn	.insn 2, 0x3f9a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	304	0xbf9a	c.sh	.insn	.insn 2, 0xbf9a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_singlePressModProcess	386	0xbf9a	c.sh	.insn	.insn 2, 0xbf9a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	0	0x3130	c.lbu	.insn	.insn 2, 0x3130
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	8	0x214c	c.lbu	.insn	.insn 2, 0x214c
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	10	0x3108	c.lbu	.insn	.insn 2, 0x3108
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	32	0x3368	c.lbu	.insn	.insn 2, 0x3368
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	38	0x2708	c.lbu	.insn	.insn 2, 0x2708
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	40	0xa288	c.sb	.insn	.insn 2, 0xa288
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	42	0x3708	c.lbu	.insn	.insn 2, 0x3708
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	44	0xb288	c.sb	.insn	.insn 2, 0xb288
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	46	0x3348	c.lbu	.insn	.insn 2, 0x3348
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	48	0xb2a8	c.sb	.insn	.insn 2, 0xb2a8
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	50	0x2368	c.lbu	.insn	.insn 2, 0x2368
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	52	0xa2c8	c.sb	.insn	.insn 2, 0xa2c8
