schema_version	index	mnemonic	data_reg	base_reg	immediate	source	halfword_hex	mask_hex	match_hex	classification
2	0	c.lbu	8	8	0	c.lbu x8, 0(x8)	0x2000	0xe003	0x2000	c.lbu
2	1	c.lbu	8	8	1	c.lbu x8, 1(x8)	0x3000	0xe003	0x2000	c.lbu
2	2	c.lbu	8	8	2	c.lbu x8, 2(x8)	0x2020	0xe003	0x2000	c.lbu
2	3	c.lbu	8	8	3	c.lbu x8, 3(x8)	0x3020	0xe003	0x2000	c.lbu
2	4	c.lbu	8	8	4	c.lbu x8, 4(x8)	0x2040	0xe003	0x2000	c.lbu
2	5	c.lbu	8	8	5	c.lbu x8, 5(x8)	0x3040	0xe003	0x2000	c.lbu
2	6	c.lbu	8	8	6	c.lbu x8, 6(x8)	0x2060	0xe003	0x2000	c.lbu
2	7	c.lbu	8	8	7	c.lbu x8, 7(x8)	0x3060	0xe003	0x2000	c.lbu
2	8	c.lbu	8	8	8	c.lbu x8, 8(x8)	0x2400	0xe003	0x2000	c.lbu
2	9	c.lbu	8	8	9	c.lbu x8, 9(x8)	0x3400	0xe003	0x2000	c.lbu
2	10	c.lbu	8	8	10	c.lbu x8, 10(x8)	0x2420	0xe003	0x2000	c.lbu
2	11	c.lbu	8	8	11	c.lbu x8, 11(x8)	0x3420	0xe003	0x2000	c.lbu
2	12	c.lbu	8	8	12	c.lbu x8, 12(x8)	0x2440	0xe003	0x2000	c.lbu
2	13	c.lbu	8	8	13	c.lbu x8, 13(x8)	0x3440	0xe003	0x2000	c.lbu
2	14	c.lbu	8	8	14	c.lbu x8, 14(x8)	0x2460	0xe003	0x2000	c.lbu
2	15	c.lbu	8	8	15	c.lbu x8, 15(x8)	0x3460	0xe003	0x2000	c.lbu
2	16	c.lbu	8	8	16	c.lbu x8, 16(x8)	0x2800	0xe003	0x2000	c.lbu
2	17	c.lbu	8	8	17	c.lbu x8, 17(x8)	0x3800	0xe003	0x2000	c.lbu
2	18	c.lbu	8	8	18	c.lbu x8, 18(x8)	0x2820	0xe003	0x2000	c.lbu
2	19	c.lbu	8	8	19	c.lbu x8, 19(x8)	0x3820	0xe003	0x2000	c.lbu
2	20	c.lbu	8	8	20	c.lbu x8, 20(x8)	0x2840	0xe003	0x2000	c.lbu
2	21	c.lbu	8	8	21	c.lbu x8, 21(x8)	0x3840	0xe003	0x2000	c.lbu
2	22	c.lbu	8	8	22	c.lbu x8, 22(x8)	0x2860	0xe003	0x2000	c.lbu
2	23	c.lbu	8	8	23	c.lbu x8, 23(x8)	0x3860	0xe003	0x2000	c.lbu
2	24	c.lbu	8	8	24	c.lbu x8, 24(x8)	0x2c00	0xe003	0x2000	c.lbu
2	25	c.lbu	8	8	25	c.lbu x8, 25(x8)	0x3c00	0xe003	0x2000	c.lbu
2	26	c.lbu	8	8	26	c.lbu x8, 26(x8)	0x2c20	0xe003	0x2000	c.lbu
2	27	c.lbu	8	8	27	c.lbu x8, 27(x8)	0x3c20	0xe003	0x2000	c.lbu
2	28	c.lbu	8	8	28	c.lbu x8, 28(x8)	0x2c40	0xe003	0x2000	c.lbu
2	29	c.lbu	8	8	29	c.lbu x8, 29(x8)	0x3c40	0xe003	0x2000	c.lbu
2	30	c.lbu	8	8	30	c.lbu x8, 30(x8)	0x2c60	0xe003	0x2000	c.lbu
2	31	c.lbu	8	8	31	c.lbu x8, 31(x8)	0x3c60	0xe003	0x2000	c.lbu
2	32	c.lbu	8	9	0	c.lbu x8, 0(x9)	0x2080	0xe003	0x2000	c.lbu
2	33	c.lbu	8	9	1	c.lbu x8, 1(x9)	0x3080	0xe003	0x2000	c.lbu
2	34	c.lbu	8	9	2	c.lbu x8, 2(x9)	0x20a0	0xe003	0x2000	c.lbu
2	35	c.lbu	8	9	3	c.lbu x8, 3(x9)	0x30a0	0xe003	0x2000	c.lbu
2	36	c.lbu	8	9	4	c.lbu x8, 4(x9)	0x20c0	0xe003	0x2000	c.lbu
2	37	c.lbu	8	9	5	c.lbu x8, 5(x9)	0x30c0	0xe003	0x2000	c.lbu
2	38	c.lbu	8	9	6	c.lbu x8, 6(x9)	0x20e0	0xe003	0x2000	c.lbu
2	39	c.lbu	8	9	7	c.lbu x8, 7(x9)	0x30e0	0xe003	0x2000	c.lbu
2	40	c.lbu	8	9	8	c.lbu x8, 8(x9)	0x2480	0xe003	0x2000	c.lbu
2	41	c.lbu	8	9	9	c.lbu x8, 9(x9)	0x3480	0xe003	0x2000	c.lbu
2	42	c.lbu	8	9	10	c.lbu x8, 10(x9)	0x24a0	0xe003	0x2000	c.lbu
2	43	c.lbu	8	9	11	c.lbu x8, 11(x9)	0x34a0	0xe003	0x2000	c.lbu
2	44	c.lbu	8	9	12	c.lbu x8, 12(x9)	0x24c0	0xe003	0x2000	c.lbu
2	45	c.lbu	8	9	13	c.lbu x8, 13(x9)	0x34c0	0xe003	0x2000	c.lbu
2	46	c.lbu	8	9	14	c.lbu x8, 14(x9)	0x24e0	0xe003	0x2000	c.lbu
2	47	c.lbu	8	9	15	c.lbu x8, 15(x9)	0x34e0	0xe003	0x2000	c.lbu
2	48	c.lbu	8	9	16	c.lbu x8, 16(x9)	0x2880	0xe003	0x2000	c.lbu
2	49	c.lbu	8	9	17	c.lbu x8, 17(x9)	0x3880	0xe003	0x2000	c.lbu
2	50	c.lbu	8	9	18	c.lbu x8, 18(x9)	0x28a0	0xe003	0x2000	c.lbu
2	51	c.lbu	8	9	19	c.lbu x8, 19(x9)	0x38a0	0xe003	0x2000	c.lbu
2	52	c.lbu	8	9	20	c.lbu x8, 20(x9)	0x28c0	0xe003	0x2000	c.lbu
2	53	c.lbu	8	9	21	c.lbu x8, 21(x9)	0x38c0	0xe003	0x2000	c.lbu
2	54	c.lbu	8	9	22	c.lbu x8, 22(x9)	0x28e0	0xe003	0x2000	c.lbu
2	55	c.lbu	8	9	23	c.lbu x8, 23(x9)	0x38e0	0xe003	0x2000	c.lbu
2	56	c.lbu	8	9	24	c.lbu x8, 24(x9)	0x2c80	0xe003	0x2000	c.lbu
2	57	c.lbu	8	9	25	c.lbu x8, 25(x9)	0x3c80	0xe003	0x2000	c.lbu
2	58	c.lbu	8	9	26	c.lbu x8, 26(x9)	0x2ca0	0xe003	0x2000	c.lbu
2	59	c.lbu	8	9	27	c.lbu x8, 27(x9)	0x3ca0	0xe003	0x2000	c.lbu
2	60	c.lbu	8	9	28	c.lbu x8, 28(x9)	0x2cc0	0xe003	0x2000	c.lbu
2	61	c.lbu	8	9	29	c.lbu x8, 29(x9)	0x3cc0	0xe003	0x2000	c.lbu
2	62	c.lbu	8	9	30	c.lbu x8, 30(x9)	0x2ce0	0xe003	0x2000	c.lbu
2	63	c.lbu	8	9	31	c.lbu x8, 31(x9)	0x3ce0	0xe003	0x2000	c.lbu
2	64	c.lbu	8	10	0	c.lbu x8, 0(x10)	0x2100	0xe003	0x2000	c.lbu
2	65	c.lbu	8	10	1	c.lbu x8, 1(x10)	0x3100	0xe003	0x2000	c.lbu
2	66	c.lbu	8	10	2	c.lbu x8, 2(x10)	0x2120	0xe003	0x2000	c.lbu
2	67	c.lbu	8	10	3	c.lbu x8, 3(x10)	0x3120	0xe003	0x2000	c.lbu
2	68	c.lbu	8	10	4	c.lbu x8, 4(x10)	0x2140	0xe003	0x2000	c.lbu
2	69	c.lbu	8	10	5	c.lbu x8, 5(x10)	0x3140	0xe003	0x2000	c.lbu
2	70	c.lbu	8	10	6	c.lbu x8, 6(x10)	0x2160	0xe003	0x2000	c.lbu
2	71	c.lbu	8	10	7	c.lbu x8, 7(x10)	0x3160	0xe003	0x2000	c.lbu
2	72	c.lbu	8	10	8	c.lbu x8, 8(x10)	0x2500	0xe003	0x2000	c.lbu
2	73	c.lbu	8	10	9	c.lbu x8, 9(x10)	0x3500	0xe003	0x2000	c.lbu
2	74	c.lbu	8	10	10	c.lbu x8, 10(x10)	0x2520	0xe003	0x2000	c.lbu
2	75	c.lbu	8	10	11	c.lbu x8, 11(x10)	0x3520	0xe003	0x2000	c.lbu
2	76	c.lbu	8	10	12	c.lbu x8, 12(x10)	0x2540	0xe003	0x2000	c.lbu
2	77	c.lbu	8	10	13	c.lbu x8, 13(x10)	0x3540	0xe003	0x2000	c.lbu
2	78	c.lbu	8	10	14	c.lbu x8, 14(x10)	0x2560	0xe003	0x2000	c.lbu
2	79	c.lbu	8	10	15	c.lbu x8, 15(x10)	0x3560	0xe003	0x2000	c.lbu
2	80	c.lbu	8	10	16	c.lbu x8, 16(x10)	0x2900	0xe003	0x2000	c.lbu
2	81	c.lbu	8	10	17	c.lbu x8, 17(x10)	0x3900	0xe003	0x2000	c.lbu
2	82	c.lbu	8	10	18	c.lbu x8, 18(x10)	0x2920	0xe003	0x2000	c.lbu
2	83	c.lbu	8	10	19	c.lbu x8, 19(x10)	0x3920	0xe003	0x2000	c.lbu
2	84	c.lbu	8	10	20	c.lbu x8, 20(x10)	0x2940	0xe003	0x2000	c.lbu
