schema_version	halfword_hex	form
2	0x2000	c.lbu
2	0x2002	c.lhu
2	0x2004	c.lbu
2	0x2006	c.lhu
2	0x2008	c.lbu
2	0x200a	c.lhu
2	0x200c	c.lbu
2	0x200e	c.lhu
2	0x2010	c.lbu
2	0x2012	c.lhu
2	0x2014	c.lbu
2	0x2016	c.lhu
2	0x2018	c.lbu
2	0x201a	c.lhu
2	0x201c	c.lbu
2	0x201e	c.lhu
2	0x2020	c.lbu
2	0x2022	c.lhu
2	0x2024	c.lbu
2	0x2026	c.lhu
2	0x2028	c.lbu
2	0x202a	c.lhu
2	0x202c	c.lbu
2	0x202e	c.lhu
2	0x2030	c.lbu
2	0x2032	c.lhu
2	0x2034	c.lbu
2	0x2036	c.lhu
2	0x2038	c.lbu
2	0x203a	c.lhu
2	0x203c	c.lbu
2	0x203e	c.lhu
2	0x2040	c.lbu
2	0x2042	c.lhu
2	0x2044	c.lbu
2	0x2046	c.lhu
2	0x2048	c.lbu
2	0x204a	c.lhu
2	0x204c	c.lbu
2	0x204e	c.lhu
2	0x2050	c.lbu
2	0x2052	c.lhu
2	0x2054	c.lbu
2	0x2056	c.lhu
2	0x2058	c.lbu
2	0x205a	c.lhu
2	0x205c	c.lbu
2	0x205e	c.lhu
2	0x2060	c.lbu
2	0x2062	c.lhu
2	0x2064	c.lbu
2	0x2066	c.lhu
2	0x2068	c.lbu
2	0x206a	c.lhu
2	0x206c	c.lbu
2	0x206e	c.lhu
2	0x2070	c.lbu
2	0x2072	c.lhu
2	0x2074	c.lbu
2	0x2076	c.lhu
2	0x2078	c.lbu
2	0x207a	c.lhu
2	0x207c	c.lbu
2	0x207e	c.lhu
2	0x2080	c.lbu
2	0x2082	c.lhu
2	0x2084	c.lbu
2	0x2086	c.lhu
2	0x2088	c.lbu
2	0x208a	c.lhu
2	0x208c	c.lbu
2	0x208e	c.lhu
2	0x2090	c.lbu
2	0x2092	c.lhu
2	0x2094	c.lbu
2	0x2096	c.lhu
2	0x2098	c.lbu
2	0x209a	c.lhu
2	0x209c	c.lbu
2	0x209e	c.lhu
2	0x20a0	c.lbu
2	0x20a2	c.lhu
2	0x20a4	c.lbu
2	0x20a6	c.lhu
2	0x20a8	c.lbu
2	0x20aa	c.lhu
2	0x20ac	c.lbu
2	0x20ae	c.lhu
2	0x20b0	c.lbu
2	0x20b2	c.lhu
2	0x20b4	c.lbu
2	0x20b6	c.lhu
2	0x20b8	c.lbu
2	0x20ba	c.lhu
2	0x20bc	c.lbu
2	0x20be	c.lhu
2	0x20c0	c.lbu
2	0x20c2	c.lhu
2	0x20c4	c.lbu
2	0x20c6	c.lhu
2	0x20c8	c.lbu
2	0x20ca	c.lhu
2	0x20cc	c.lbu
2	0x20ce	c.lhu
2	0x20d0	c.lbu
2	0x20d2	c.lhu
2	0x20d4	c.lbu
2	0x20d6	c.lhu
2	0x20d8	c.lbu
2	0x20da	c.lhu
2	0x20dc	c.lbu
2	0x20de	c.lhu
2	0x20e0	c.lbu
2	0x20e2	c.lhu
2	0x20e4	c.lbu
2	0x20e6	c.lhu
2	0x20e8	c.lbu
2	0x20ea	c.lhu
2	0x20ec	c.lbu
2	0x20ee	c.lhu
2	0x20f0	c.lbu
2	0x20f2	c.lhu
2	0x20f4	c.lbu
2	0x20f6	c.lhu
2	0x20f8	c.lbu
2	0x20fa	c.lhu
2	0x20fc	c.lbu
2	0x20fe	c.lhu
2	0x2100	c.lbu
2	0x2102	c.lhu
2	0x2104	c.lbu
2	0x2106	c.lhu
2	0x2108	c.lbu
2	0x210a	c.lhu
2	0x210c	c.lbu
2	0x210e	c.lhu
2	0x2110	c.lbu
2	0x2112	c.lhu
2	0x2114	c.lbu
2	0x2116	c.lhu
2	0x2118	c.lbu
2	0x211a	c.lhu
2	0x211c	c.lbu
2	0x211e	c.lhu
2	0x2120	c.lbu
2	0x2122	c.lhu
2	0x2124	c.lbu
2	0x2126	c.lhu
2	0x2128	c.lbu
2	0x212a	c.lhu
2	0x212c	c.lbu
2	0x212e	c.lhu
2	0x2130	c.lbu
2	0x2132	c.lhu
2	0x2134	c.lbu
2	0x2136	c.lhu
2	0x2138	c.lbu
2	0x213a	c.lhu
2	0x213c	c.lbu
2	0x213e	c.lhu
2	0x2140	c.lbu
2	0x2142	c.lhu
2	0x2144	c.lbu
2	0x2146	c.lhu
2	0x2148	c.lbu
2	0x214a	c.lhu
2	0x214c	c.lbu
2	0x214e	c.lhu
2	0x2150	c.lbu
2	0x2152	c.lhu
2	0x2154	c.lbu
2	0x2156	c.lhu
2	0x2158	c.lbu
2	0x215a	c.lhu
2	0x215c	c.lbu
2	0x215e	c.lhu
2	0x2160	c.lbu
2	0x2162	c.lhu
2	0x2164	c.lbu
2	0x2166	c.lhu
2	0x2168	c.lbu
2	0x216a	c.lhu
2	0x216c	c.lbu
2	0x216e	c.lhu
2	0x2170	c.lbu
2	0x2172	c.lhu
2	0x2174	c.lbu
2	0x2176	c.lhu
2	0x2178	c.lbu
2	0x217a	c.lhu
2	0x217c	c.lbu
2	0x217e	c.lhu
2	0x2180	c.lbu
2	0x2182	c.lhu
2	0x2184	c.lbu
2	0x2186	c.lhu
2	0x2188	c.lbu
2	0x218a	c.lhu
2	0x218c	c.lbu
2	0x218e	c.lhu
2	0x2190	c.lbu
2	0x2192	c.lhu
2	0x2194	c.lbu
2	0x2196	c.lhu
2	0x2198	c.lbu
2	0x219a	c.lhu
2	0x219c	c.lbu
2	0x219e	c.lhu
2	0x21a0	c.lbu
2	0x21a2	c.lhu
2	0x21a4	c.lbu
2	0x21a6	c.lhu
2	0x21a8	c.lbu
2	0x21aa	c.lhu
2	0x21ac	c.lbu
2	0x21ae	c.lhu
2	0x21b0	c.lbu
2	0x21b2	c.lhu
2	0x21b4	c.lbu
2	0x21b6	c.lhu
2	0x21b8	c.lbu
2	0x21ba	c.lhu
2	0x21bc	c.lbu
2	0x21be	c.lhu
2	0x21c0	c.lbu
2	0x21c2	c.lhu
2	0x21c4	c.lbu
2	0x21c6	c.lhu
2	0x21c8	c.lbu
2	0x21ca	c.lhu
2	0x21cc	c.lbu
2	0x21ce	c.lhu
2	0x21d0	c.lbu
2	0x21d2	c.lhu
2	0x21d4	c.lbu
2	0x21d6	c.lhu
2	0x21d8	c.lbu
2	0x21da	c.lhu
2	0x21dc	c.lbu
2	0x21de	c.lhu
2	0x21e0	c.lbu
2	0x21e2	c.lhu
2	0x21e4	c.lbu
2	0x21e6	c.lhu
2	0x21e8	c.lbu
2	0x21ea	c.lhu
2	0x21ec	c.lbu
2	0x21ee	c.lhu
2	0x21f0	c.lbu
2	0x21f2	c.lhu
2	0x21f4	c.lbu
2	0x21f6	c.lhu
2	0x21f8	c.lbu
2	0x21fa	c.lhu
2	0x21fc	c.lbu
2	0x21fe	c.lhu
2	0x2200	c.lbu
2	0x2202	c.lhu
2	0x2204	c.lbu
2	0x2206	c.lhu
2	0x2208	c.lbu
2	0x220a	c.lhu
2	0x220c	c.lbu
2	0x220e	c.lhu
2	0x2210	c.lbu
2	0x2212	c.lhu
2	0x2214	c.lbu
2	0x2216	c.lhu
2	0x2218	c.lbu
2	0x221a	c.lhu
2	0x221c	c.lbu
2	0x221e	c.lhu
2	0x2220	c.lbu
2	0x2222	c.lhu
2	0x2224	c.lbu
2	0x2226	c.lhu
2	0x2228	c.lbu
2	0x222a	c.lhu
2	0x222c	c.lbu
2	0x222e	c.lhu
2	0x2230	c.lbu
2	0x2232	c.lhu
2	0x2234	c.lbu
2	0x2236	c.lhu
2	0x2238	c.lbu
2	0x223a	c.lhu
2	0x223c	c.lbu
2	0x223e	c.lhu
2	0x2240	c.lbu
2	0x2242	c.lhu
2	0x2244	c.lbu
2	0x2246	c.lhu
2	0x2248	c.lbu
2	0x224a	c.lhu
2	0x224c	c.lbu
2	0x224e	c.lhu
2	0x2250	c.lbu
2	0x2252	c.lhu
2	0x2254	c.lbu
2	0x2256	c.lhu
2	0x2258	c.lbu
2	0x225a	c.lhu
2	0x225c	c.lbu
2	0x225e	c.lhu
2	0x2260	c.lbu
2	0x2262	c.lhu
2	0x2264	c.lbu
2	0x2266	c.lhu
2	0x2268	c.lbu
2	0x226a	c.lhu
2	0x226c	c.lbu
2	0x226e	c.lhu
2	0x2270	c.lbu
2	0x2272	c.lhu
2	0x2274	c.lbu
2	0x2276	c.lhu
2	0x2278	c.lbu
2	0x227a	c.lhu
2	0x227c	c.lbu
2	0x227e	c.lhu
2	0x2280	c.lbu
2	0x2282	c.lhu
2	0x2284	c.lbu
2	0x2286	c.lhu
2	0x2288	c.lbu
2	0x228a	c.lhu
2	0x228c	c.lbu
2	0x228e	c.lhu
2	0x2290	c.lbu
2	0x2292	c.lhu
2	0x2294	c.lbu
2	0x2296	c.lhu
2	0x2298	c.lbu
2	0x229a	c.lhu
2	0x229c	c.lbu
2	0x229e	c.lhu
2	0x22a0	c.lbu
2	0x22a2	c.lhu
2	0x22a4	c.lbu
2	0x22a6	c.lhu
2	0x22a8	c.lbu
2	0x22aa	c.lhu
2	0x22ac	c.lbu
2	0x22ae	c.lhu
2	0x22b0	c.lbu
2	0x22b2	c.lhu
2	0x22b4	c.lbu
2	0x22b6	c.lhu
2	0x22b8	c.lbu
2	0x22ba	c.lhu
2	0x22bc	c.lbu
2	0x22be	c.lhu
2	0x22c0	c.lbu
2	0x22c2	c.lhu
2	0x22c4	c.lbu
2	0x22c6	c.lhu
2	0x22c8	c.lbu
2	0x22ca	c.lhu
2	0x22cc	c.lbu
2	0x22ce	c.lhu
2	0x22d0	c.lbu
2	0x22d2	c.lhu
2	0x22d4	c.lbu
2	0x22d6	c.lhu
2	0x22d8	c.lbu
2	0x22da	c.lhu
2	0x22dc	c.lbu
2	0x22de	c.lhu
2	0x22e0	c.lbu
2	0x22e2	c.lhu
2	0x22e4	c.lbu
2	0x22e6	c.lhu
2	0x22e8	c.lbu
2	0x22ea	c.lhu
2	0x22ec	c.lbu
2	0x22ee	c.lhu
2	0x22f0	c.lbu
2	0x22f2	c.lhu
2	0x22f4	c.lbu
2	0x22f6	c.lhu
2	0x22f8	c.lbu
2	0x22fa	c.lhu
2	0x22fc	c.lbu
2	0x22fe	c.lhu
2	0x2300	c.lbu
2	0x2302	c.lhu
2	0x2304	c.lbu
2	0x2306	c.lhu
2	0x2308	c.lbu
2	0x230a	c.lhu
2	0x230c	c.lbu
2	0x230e	c.lhu
2	0x2310	c.lbu
2	0x2312	c.lhu
2	0x2314	c.lbu
2	0x2316	c.lhu
2	0x2318	c.lbu
2	0x231a	c.lhu
2	0x231c	c.lbu
2	0x231e	c.lhu
2	0x2320	c.lbu
2	0x2322	c.lhu
2	0x2324	c.lbu
2	0x2326	c.lhu
2	0x2328	c.lbu
2	0x232a	c.lhu
2	0x232c	c.lbu
2	0x232e	c.lhu
2	0x2330	c.lbu
2	0x2332	c.lhu
2	0x2334	c.lbu
2	0x2336	c.lhu
2	0x2338	c.lbu
2	0x233a	c.lhu
2	0x233c	c.lbu
2	0x233e	c.lhu
2	0x2340	c.lbu
2	0x2342	c.lhu
2	0x2344	c.lbu
2	0x2346	c.lhu
2	0x2348	c.lbu
2	0x234a	c.lhu
2	0x234c	c.lbu
2	0x234e	c.lhu
2	0x2350	c.lbu
2	0x2352	c.lhu
2	0x2354	c.lbu
2	0x2356	c.lhu
2	0x2358	c.lbu
2	0x235a	c.lhu
2	0x235c	c.lbu
2	0x235e	c.lhu
2	0x2360	c.lbu
