schema_version	path	status	size_bytes	sha256
2	audit-report-f/followup/results/06b-chipid-errata-codex.md	present	13920	8409d6296f01e0573302fc69cfb6ade09f44e3babc485b1f429ec167de9d35e6
2	audit-report-f/followup/results/06b-chipid-errata-inventory.tsv	present	2779518	049eacc20a90833cdf491057ca432844a41c0578cde4379f7e49041ffbe21763
2	audit-report-f/followup/results/06b-chipid-errata-object-scan.tsv	present	4389544359	4e2ef8d6ddbd87d48ad7045772f2569009fac1fae07bd21a76672fda6c97c341
2	audit-report-f/followup/results/06b-chipid-errata-findings.tsv	present	21583	32210b560dc5884fff210899473c7e2f5c39bfc36d39bca3798c3cddcdadd94e
2	audit-report-f/followup/results/06b-chipid-errata-evidence/archive-summary.tsv	present	530012	9e2e51ead08849d26bbdc7673d234850eae11b7caec49489462a698305529927
2	audit-report-f/followup/results/06b-chipid-errata-evidence/attempt-history.md	present	3639	7b5fd222d2252ac3ebf32caa7636e2483c4be1d1e075e668c4a8d241aa1edcb7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/command-ledger.tsv	present	2651	34b57495ca03f1e05c367a68532393598545c65c7af7778edc4647e67ed0656e
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/audit-engine-final-v2.stdout	present	2176	742e438f3c1ab82be639c289c8ca80e41fe56fddc87dc58fc592bf8441b5e3bc
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/control-checks-3.stdout	present	134047	a0dabc25d63178114121d8b885933e3d94c24a480d3f2ffd06cbd534fbb7b6ad
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/doc-query-final.stdout	present	1616	cb96fd46daae08f6c1d8ac12b4661741d3d0af2dd2f1df32128f7aff4c21a7fc
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/raw-controls.stdout	present	3913	5c17631e62708499f4185fb840503dac6b58b01a0723b715e5c370ecdcb6777e
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/rawscan-smoke.stdout	present	5590	c465436b4cd9ce6bf853b8e10c20e181e83581e481635da6b5cd48f4884f1881
2	audit-report-f/followup/results/06b-chipid-errata-evidence/commands/xw-fixture-3.stdout	present	2807	79d982f6e16f316442c57ae04e1120166b8aa2d8d6de9eaa095d231d35b83315
2	audit-report-f/followup/results/06b-chipid-errata-evidence/control-summary.json	present	203521	a41110e45b67938d6a23bcb7bb57a9b861d1f6287745c68b35140517b941b4f7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/documents/document-manifest.tsv	present	182028	ee454e0ceeca4be36bdf40398c1c16333b15a3a97c3aa4928130b800729770e4
2	audit-report-f/followup/results/06b-chipid-errata-evidence/documents/document-query-hits.tsv	present	845855	9148c492e8612fd5558c1231c568fee331de2ad133bc4dad3caada78793c03fc
2	audit-report-f/followup/results/06b-chipid-errata-evidence/documents/document-query-summary.json	present	1812	e9c2be7c9acd19a1cbb609f319445abc21088895753758f0125b7767ebcab551
2	audit-report-f/followup/results/06b-chipid-errata-evidence/end-git-status.porcelain-v2	present	733415	c8dab6080b6e4191378628a7ac12b72c9fece52bcfa5b6aa7fb2d4bccf46df0e
2	audit-report-f/followup/results/06b-chipid-errata-evidence/end-git-status.sha256	present	65	9a408deda0cbeda9ba1d873aa65b65f6741fcd8d0424eeeefb94d842a8c7d1b7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/end-out-of-scope-check.tsv	present	322	660b8cdad27eca1408afef7d6b7466137a46e9d1ced6c23fece617583c2fca8f
2	audit-report-f/followup/results/06b-chipid-errata-evidence/evidence-manifest.tsv	present	12182	e97c47e6eb82f89b690a3ccf13bcf2b78e03e5898b8358054bbcb9e1eebc128d
2	audit-report-f/followup/results/06b-chipid-errata-evidence/initial-git-head	present	41	a4b3c536cef719cc407d5e01ddfe0dea7cd037bc74ef4db4f0bd7d7faae7ea8f
2	audit-report-f/followup/results/06b-chipid-errata-evidence/initial-git-status.porcelain-v2	present	733415	c8dab6080b6e4191378628a7ac12b72c9fece52bcfa5b6aa7fb2d4bccf46df0e
2	audit-report-f/followup/results/06b-chipid-errata-evidence/initial-git-status.sha256	present	65	9a408deda0cbeda9ba1d873aa65b65f6741fcd8d0424eeeefb94d842a8c7d1b7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/initial-out-of-scope-worktree-diff.sha256	present	65	4161f8f2980df2789666016972c9d13700e4844cc6bc5b1d56a04ab8aa2c73be
2	audit-report-f/followup/results/06b-chipid-errata-evidence/input-drift.tsv	present	4365452	0e74e61e727bb095f3faef91c7efdca5267b08c27bb441099e5aae57380f6903
2	audit-report-f/followup/results/06b-chipid-errata-evidence/input-manifest.tsv	present	3906565	410f1a70164e6adfee84b3732532c79a82859663a75ffae230c7603238e84506
2	audit-report-f/followup/results/06b-chipid-errata-evidence/object-coverage.json	present	954	e56b3a673f3647d6c7eae5a77555f46ea5e06f954fff2d054e702a917ef91e38
2	audit-report-f/followup/results/06b-chipid-errata-evidence/prior-artifact-manifest.tsv	present	229233	eeaba5a0b7faec7c639226b2c35586830d7d166e97d5b87fa8f9aaa93d2f4866
2	audit-report-f/followup/results/06b-chipid-errata-evidence/raw-hits.jsonl	present	6490053	676a68dda99dd3c91aba54e7827037ff18e90a68de9367bfa23e58f8acc0b1aa
2	audit-report-f/followup/results/06b-chipid-errata-evidence/rom/ch587-rom.objdump.txt	present	2831871	edf816b0ae406abbb7e720c9e65e95063f2b33d3578871055a2f14d4ca57348a
2	audit-report-f/followup/results/06b-chipid-errata-evidence/rom/control-summary.json	present	203521	a41110e45b67938d6a23bcb7bb57a9b861d1f6287745c68b35140517b941b4f7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/audit_engine.py	present	59186	ec65aba7efb9e287dda47bca79e243c68eeacf32e460ae3829166ba7e1d8eb53
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/baseline.py	present	6359	ac071e6668a70bf79ba9f4c6f6e6659b6260b054e4f22170c99a02755229bc29
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/control_checks.py	present	12778	90f204477517259c228ed3c583e6e78b99e0575629602cb537cc8c99afd46c5f
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/doc_query.py	present	6360	0eb4fc6660520e80a7ae141e626a33e455a2214c4b14388d15ea868d8ee7e825
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/extract_raw_controls.py	present	5234	6865de3ff53b3c87799c172c814e5882459266db46a740aa889fd3f7ff905b1a
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/finalize.py	present	38418	0254b5246498f7f3c232ab910dfdf6d8144d886e3e41f6e471d3e86ad1f1c119
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/rawscan.py	present	5828	9545ee7a09376ffab9f353daa6c41a75836371353ea069a9817a4204efbfb3cb
2	audit-report-f/followup/results/06b-chipid-errata-evidence/scripts/xw_fixture.py	present	7052	7dde201ed50447d13224f5cdf26b47bcdd42881bef91643a2e00bcac5e3e86d1
2	audit-report-f/followup/results/06b-chipid-errata-evidence/tool-manifest.tsv	present	2427	51fac7a083697d96bae13e16f9c6a5b0758ef02bd38b44dc81b015566f86cc1a
2	audit-report-f/followup/results/06b-chipid-errata-evidence/wchnet/control-summary.json	present	203521	a41110e45b67938d6a23bcb7bb57a9b861d1f6287745c68b35140517b941b4f7
2	audit-report-f/followup/results/06b-chipid-errata-evidence/wchnet/h417-eth_api.objdump.txt	present	22144	d60ff6500e3be502b7066a3d8fe1e92af338f5d95fe49c58b36b417675fdf076
2	audit-report-f/followup/results/06b-chipid-errata-evidence/wchnet/v203-eth_api.objdump.txt	present	23110	110da94dea67810ef89409b55de00482601c3760f1484f83602d1e873706bcf8
