schema_version	scope	start_sha256	end_sha256	status
2	original-head	19ca29d15b4d5a06c75c7b59e10cc4eed17cfe1e	12bb348a5b98e8918865921d8a4c59c6447e52ac	external-ancestor-advance
2	original-porcelain-v2-out-of-scope	e3790c5c9378d8dd23db992b1cc89499290e049047f529fd0d7d2903355cbe04	f9495a9b805c136f3f4ce0a8b333c657d2a600f9636b1966bfc0005c8e7f6566	external-commit-transition
2	original-worktree-diff-out-of-scope	e1b9550b50ee583bffae874b6805e52646e13421f23da1c9c9517e1c4df6523c	2c6b29ca0767a6e2f8b274b0c91cde6440205d8b7076d390f113eea68a669975	external-commit-transition
2	original-index-diff-out-of-scope	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	21ab0dbdf6e38fbff6ca9d1aa82264362bd320e1a16d95c80bbb5a7222154e38	external-commit-transition
2	selected-head-baseline	12bb348a5b98e8918865921d8a4c59c6447e52ac	12bb348a5b98e8918865921d8a4c59c6447e52ac	same
2	selected-porcelain-v2-out-of-scope	f9495a9b805c136f3f4ce0a8b333c657d2a600f9636b1966bfc0005c8e7f6566	f9495a9b805c136f3f4ce0a8b333c657d2a600f9636b1966bfc0005c8e7f6566	same
2	selected-worktree-diff-out-of-scope	2c6b29ca0767a6e2f8b274b0c91cde6440205d8b7076d390f113eea68a669975	2c6b29ca0767a6e2f8b274b0c91cde6440205d8b7076d390f113eea68a669975	same
2	selected-index-diff-out-of-scope	21ab0dbdf6e38fbff6ca9d1aa82264362bd320e1a16d95c80bbb5a7222154e38	21ab0dbdf6e38fbff6ca9d1aa82264362bd320e1a16d95c80bbb5a7222154e38	same
2	external-commit-path-delta	743e5db38731b99efc00d11913cf8515e7eac517c29cbce00781bc3a034fbede	743e5db38731b99efc00d11913cf8515e7eac517c29cbce00781bc3a034fbede	recorded-2500-paths
2	post-head-external-worktree-transition-chain	4c0a55ee0e232c0fce90f42108cc4f279c0bb00325d43dcd71389c16d66c771d	4c0a55ee0e232c0fce90f42108cc4f279c0bb00325d43dcd71389c16d66c771d	recorded-2-transitions
