schema_version	finding_id	source_scan_row_id	physical_path	build_context_id	member_section_offset	semantic_context_id	source	access_width_and_field	transform_and_predicate	path_a	path_b	observed_default	evidence_level	purpose_and_workaround	reachability_triplet	unresolved	evidence_ids	evidence_manifest_sha256
2	finding-22238eac3424f597b145b0695ee8c60572e0e591935f5031d706138e40ee64ae	scan-66d1f53fc8d370e07c4729d1649d043686b55fbf25ec575cc16236df19fe2fc6	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-d11c1b358337ccaef28929d63ff0d9f04a253cae5e9a0a6ab07fd03a9fe7efe1	eth_api.o#1:.text.GetChipID/.text.getTxBuffAddr	sem-5ef1529bf33e7e5247284d9bc564c88b46be7baaae40c9bbe8e74ecbcdc1d9d1	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-2492699325863f6a68860df2dffb559d444963d7613f919587d59485bb785b46	scan-80bec317e3a4097216b6c2fcc7338f770c98414d217d7c61e6f4e26113b27908	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-b565fe4c9d58ee57d9d6dcb92b238bffa263a48afe21c3fdeda3f0d1c82f4df2	eth_api.o#2:.text.GetChipID/.text.getTxBuffAddr	sem-276b329206d3cd35c58d56d21e5876fc2af09628d0da37978c2592eb821b373e	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-4a9723ea8c183e7044171fe06a9920c907dad4fce31e0822eb383a5524e7093e	scan-3626a7630acde9b11f40a1b70e13b926731b92782d7e53f7f09161d8c47c559b	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	buildctx-1ce84e90a715c46236df67989cd252cf08d07739b764c79585ddcd31105aeb78	IocHub.o#1:.text.IoCHub_CliConnAutoReg	sem-c776f4a0ea67ccaddb81a6ab938f9a622b6068996405b13d3b1f46b43e1e8dd3	when uint8(chipType-1)<=4, read 16 bytes at 0x1ffff7e0	16 sequential bytes from system information area; unique-id/factory-key identity candidate	valid chipType range 1..5 selects hardware bytes; invalid range uses zero material; bytes flow through EncInit/Update/Final into registration/auth frame	valid chipType hashes/encrypts factory bytes and derives/exposes an eight-byte local ID	invalid chipType substitutes zero bytes before the same identity/auth pipeline	out-of-range chipType uses zeros	ID-FLOW	identity/authentication material; no low-level recovery behavior or errata selector proven	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	remote server interpretation, caller chipType domain, hardware byte semantics, and runtime hardware behavior	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-5002b8134b8973244cfcfb9306b83c94d025228a12df5c06c1a367081021af4c	scan-75bf01fcb16355846dba92636ccbe313a510490dde983e82f2c21b6ed44fc1d9	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	rom-jump-table-context	0x40960..0x4096e; mcpy@0x40968	sem-7b9940dcc3f054623605b1c16df371876ae79b148db5ef7c2bb33638b3329ec0	local parcel chain checks three arguments, computes a2=a2+a1, executes bytes 0f70b650, then returns	32-bit custom instruction 0x50b6700f; not an ID read	SDK/ROM convention rs1=EA, rs2=SA, rs3=DA; exact endpoint and post-write registers unresolved	local block executes mcpy when all three arguments are nonzero	zero argument returns without mcpy	not-applicable to chip identity	DOCUMENT-ERRATUM-CANDIDATE	real-body custom-instruction control; V407RM operand prose conflicts with assembler and four SDK macros; not silicon errata	contained_in_artifact=yes;selected_in_link=unknown;runtime_domain_reachable=unknown	jump-table recursive CFG does not reach this local block; external callers, endpoint inclusivity, completion values, and cross-chip behavior remain unknown	ev-7011196ef133b94117b531f4227d4b5f6b43836197a0ff808b4f19f109a77717;ev-b1739f51884e7dd161e630bb537fb2844cfbceabf2d68b2296ea275b3de46cc6;ev-f21a7a2c7fe1a8be2a00ce9b956d4133a0bd76de03353c9f11be5fee48f8f5d4	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-70c1587d833ae875d2fc5754022a9c0878c616a7f8ff20a740e049636ecb0c4a	scan-3b7295c2cdfb6f2844598c084ed7fe8624342208cb9c99b3c2daf33e7ded3fc2	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-c498c843f9e9e3d31a08d2443277d9891db00107c40bba3af881c996faa47153	eth_api.o#2:.text.GetChipID/.text.getTxBuffAddr	sem-0dee7cb0f6caf3be94fe30dc2782a02879de8bd2afce023b5170488715e840a1	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-90a3b4e3521918bc21eaca6d8f9ac68921fb36b7662a1f12a552401d699820a1	scan-5a1966ccaf4a79137dc3d95c1a14f750bb0995812997a7fc163309ac1eecdc79	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-aec709f08f42e4b9b11b6491ae808d96ea2894da0559e08ac67ae8061277e411	eth_api.o#1:.text.GetChipID/.text.getTxBuffAddr	sem-be91aceb9d418da683e52459d81ff514632cc3a8e16ba6aad144e1ccaf9ee223	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-94aa6ae2f928a1168bc3f0e7a2fac6c3e94525cae76495c554daf1e90c0d898f	scan-c01bf15b641cfdc2c879aabb603c698dac64ad0995e4f6a28d4607ef04cfd9b2	tmp/wch-evt/evt/QingkeV4C_CH32V20x_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-2cd61a1a3adb54a3a5b3580b5437a9938b7bb37ad35cd76c06c2dc59d077cefa	eth_api.o#1:.text.GetChipID/.text.getTxBuffAddr	sem-107494dcffed82f21b5d7d5f214f1a29750e98a126df8706be890dd6e4a2efc3	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-a20c2039623e688c7eb9b14d7808cc7d069dbda8211eef51390479f851950f08	scan-e4d97f99f5c3c6f1c6e992b64d0eb1754d0283667c4d3505ab9d404372a73bb9	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet_float.a	buildctx-1944c688784d3a1c898a7501338b0dde58e734440df56c98c5a1caec07a1106e	eth_api.o#1:.text.getTxBuffAddr	sem-b92c157b7b932652373c86d4f9c74c41c2aed6ce54c905c15a748ce475d4c9d4	no GetChipID symbol and no 0x1ffff706 load marker in either float eth_api occurrence	not-applicable	compile-time archive specialization; no runtime ID predicate observed	descriptor-only getTxBuffAddr implementation	soft archive contains the runtime 0x30/0x80 selector; that selector is absent here	single static implementation in this archive variant	STATIC-VARIANT-SPECIALIZATION	cross-variant behavior difference, not an ID-SELECT or errata finding	contained_in_artifact=yes;selected_in_link=unknown;runtime_domain_reachable=not-applicable	five project metadata references exist, but no available map selects float eth_api.o; absence from available maps is not a global no-link proof	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-c4e0f0033598572435c414ac8ca9cb8b2132db0ba95d83592ded01dddeadf442	scan-1cf3c19aaed8d3829fc1dea8a03adf499cdc2b6f01508905495a1dc5b1f58ea9	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-c498c843f9e9e3d31a08d2443277d9891db00107c40bba3af881c996faa47153	eth_api.o#1:.text.GetChipID/.text.getTxBuffAddr	sem-0dee7cb0f6caf3be94fe30dc2782a02879de8bd2afce023b5170488715e840a1	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	finding-c4fce475574c925eb5c9af17d420115e62fe497a4d0f89cb0a978c44b6ad4dd4	scan-1e7c74ba3d39b1fae30f0257924d4de824369bbb72567eda34be787b67433f7a	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	buildctx-d11c1b358337ccaef28929d63ff0d9f04a253cae5e9a0a6ab07fd03a9fe7efe1	eth_api.o#2:.text.GetChipID/.text.getTxBuffAddr	sem-5ef1529bf33e7e5247284d9bc564c88b46be7baaae40c9bbe8e74ecbcdc1d9d1	GetChipID: lui 0x1ffff; lhu 0x706; andi 0xf0; returned value consumed by getTxBuffAddr	unsigned 16-bit little-endian load at 0x1ffff706; field mask 0x00f0; trusted model/revision semantics unavailable for this address	field=uint16[0x1ffff706]&0xf0; special iff field==0x80 || field==0x30; then uint32(LocalTime-anchor)>99 || counter>0x8000; counter starts 0 and increments after a failed descriptor test	after failed descriptor status, special IDs may clear descriptor owner bit31 (slli/srli/store) when timeout or counter threshold fires	other IDs poll descriptor signed status; success clears timer anchor and returns descriptor buffer	all masked values other than 0x30/0x80 take the ordinary polling path; unknown IDs therefore collide with that observed default	WORKAROUND-CANDIDATE	confirmed ID-READ/ID-SELECT and defensive Tx recovery shape; silicon defect, affected revision, and causal erratum are not established	contained_in_artifact=yes;selected_in_link=yes;runtime_domain_reachable=unknown	0x1ffff706 field mapping, volatile ordering beyond observed object code, actual hardware input domain, and defect causality	ev-3bdfe921f6d86d5d4f47731a2211bf16eddad979439af8e00faacde164d003e1;ev-b490efbfb3202b05ed209cf52a67b8beada9c110b5d435da900213bb87b035ec;ev-0c0b67bf847b36d95829f18efe6830c4dfe21408897aa699a80c30bf824d2b8d;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115;ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
