schema_version	source_set	scope_class	path_or_reference	family	role	physical_present	target_chip	build_context	sha256	normalized_sha256	parent_package_sha256	file_format	member_occurrences	byte_group_id	byte_representative_path	scan_status	evidence_ids	evidence_manifest_sha256
2	project-metadata	missing-referenced	-lISP585/libISP585.a	ISP585	missing-referenced	no	unknown	28 current project-link rows; physical archive absent	not-applicable	not-applicable	not-applicable	reference	not-applicable	not-applicable	not-applicable	not-required	ev-22d1fa8065b1d19463027a138262930049c8b90c16138d6e27c91528761fddff;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	project-metadata	not-found-no-current-link-reference	CHRV3UFI.lib	RV3UFI/CHRV3UFI	reference-control	no	unknown	legacy V103 .wvproj opaque; current readable project metadata has zero link rows	not-applicable	not-applicable	not-applicable	reference	not-applicable	not-applicable	not-applicable	not-required	ev-22d1fa8065b1d19463027a138262930049c8b90c16138d6e27c91528761fddff;ev-f60f9848ae02e7d9e2f856c478c3ef120c48e7f50f521d41b9ab109b0a88b115	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crtbegin.o	other target artifact	standalone-object	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	97ef7309fb437cf792567c7e349da6502edf5c80c5f9c27f98490faab60404af	not-applicable	not-applicable	ELF	not-applicable	bytegroup-4e62902a30ea395490e5752c6cb0965fe306b5f6a1999f26ac994f927c848c7f	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crtbegin.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crtend.o	other target artifact	standalone-object	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	92234314986a64bb5e312014fe1c8dcb03355354f699a5a2735a15b604f3e6b9	not-applicable	not-applicable	ELF	not-applicable	bytegroup-723611ea1b7b76947cc0972dae8fe2e3efcd60d08ea2eb588f45764da928906c	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crtend.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crti.o	other target artifact	standalone-object	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	43935ea6d7822b2f4e070dd12ca43c58b5e80eec48a03fd329fe8bd4cb7b8726	not-applicable	not-applicable	ELF	not-applicable	bytegroup-58f65f40d55699583df02bc871bfdf172611d49a3d00b37ac7dfc8aaeeea5caf	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crtn.o	other target artifact	standalone-object	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	43935ea6d7822b2f4e070dd12ca43c58b5e80eec48a03fd329fe8bd4cb7b8726	not-applicable	not-applicable	ELF	not-applicable	bytegroup-58f65f40d55699583df02bc871bfdf172611d49a3d00b37ac7dfc8aaeeea5caf	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/libgcc.a	generic-runtime-candidate	target-archive	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	b5a019b25cd574ee34f769888abb93b86394741f26e6141dd6e1ff14622bd5f4	not-applicable	not-applicable	ar	165	bytegroup-0f35938f19775c829e216ed156a2464708327d6e1d381f96f8747809e6337e9a	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/libgcc.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/libgcov.a	other target artifact	target-archive	yes	unknown	buildctx-a0d6bf40f68fbda4cf6e6a8281f3a946a7e51d7a8cecf75cff37d7375b728c9b	8d99d48ad27f6ccafdea8aee92b1ab33edcb73f7e59ce323f593bb5c235c3ad5	not-applicable	not-applicable	ar	28	bytegroup-c449f31f7699cb5926fc5e9bd575967c8555c878bec2c0e766e0d953563630f2	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/libgcov.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crtbegin.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	88cfb0f7cddcd0933f25fb309f64eafd33b118b7ef541a93264f5eaf6d198b5e	not-applicable	not-applicable	ELF	not-applicable	bytegroup-17ef7f0c5d24c8138a614b27096c68aebde1a15268fe47b1b2d0b5eb4479e943	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crtbegin.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crtend.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	94d94c4d8f3a148babef2fa61d8bf2f4aa6df928402f409b85a1a4dc8ca687bd	not-applicable	not-applicable	ELF	not-applicable	bytegroup-7f1b5415184b3c5c83067b58e396f1a8aeeb78248fdf3804c1bbea343005acab	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crtend.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
