schema_version	document_id	path	sha256	version	pdf_pages	pdf_page	condition	documented_behavior	classification	runtime_revid_mapping	visual_evidence
1	DOC-REV-001	tmp/wch-evt/application_notes/CH32V205RM.PDF	b1ed9ef040455a1f9a32f1ab9f9be0e9d3391709bc0b6fa141b2f581593b6c59	V1.2	389	261	CHIPID 倒数第二位为 1	CC Source 端口必须配置为上拉输入	DOCUMENTED-REVISION-REQUIREMENT	V205 ChipID 表 0x205...05x0 将倒数第二个十六进制位闭合到 full CHIPID[7:4]；这是跨证据推断	visual-pages/CH32V205RM-p261.png
1	DOC-REV-002	tmp/wch-evt/application_notes/CH32L103RM.PDF	27a1b969cb2cb99d296ac562cac134ec63d52e4f0c75cf9d6bad7c696bc66fe3	V2.2	313	262	CHIPID 倒数第二位为 1	CC Source 端口必须配置为上拉输入	DOCUMENTED-CHIPID-REQUIREMENT	本地材料未闭合同一位到 L103 的 DBGMCU_GetREVID	visual-pages/CH32L103RM-p262.png
1	LOT-H417-001	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	V1.7	879	375	批号倒数第五位小于 3	I3C 主机接收无数据 IBI 时 IBIF 不生效；手册指向官网 EVT 例程处理	DOCUMENTED-LOT-ERRATUM	checked local and official sources did not map printed lot position to REVID	visual-pages/CH32H417RM-p375.png
1	LOT-H417-002	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	V1.7	879	1	批号第五位不为 0	支持内存保护；后文还限定 Core0 PMP 和 trigger	LOT-GATED-CAPABILITY	not mapped to REVID	visual-pages/CH32H417RM-p001.png
1	LOT-H417-003	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	V1.7	879	672	批号倒数第五位小于 3	I2S FSPOL=0 时须外接上拉电阻	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	not-rendered
1	LOT-H417-004	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	V1.7	879	682	批号倒数第五位小于 3	QSPI 内存映射地址只能数据访问，不能指令访问	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	not-rendered
1	LOT-H417-005	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	V1.7	879	859	批号倒数第五位小于 3	GPHA MODE=011b 时 PL 必须大于 0	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	not-rendered
1	LOT-FV3X-001	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95	V2.5	553	148	批号倒数第五位/倒数第六位组合	DMA1 跨 64K 或 128K 边界受限，通道范围随批次变化	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	visual-pages/CH32FV2x_V3xRM-p148.png
1	LOT-V407-001	tmp/wch-evt/application_notes/CH32V407RM.PDF	63625af9027af6abfff57a58f8d2afdb2b68ee7d31c323e407da6ea786573c56	V1.1	537	11	批号倒数第五位为 0	待机前未作唤醒用途的 GPIO 必须配置为模拟输入	DOCUMENTED-LOT-REQUIREMENT	not mapped to REVID	not-rendered
1	LOT-V407-002	tmp/wch-evt/application_notes/CH32V407RM.PDF	63625af9027af6abfff57a58f8d2afdb2b68ee7d31c323e407da6ea786573c56	V1.1	537	7	批号倒数第五位大于 0	非零等待区支持 RVV 指令和 DMA 64 位访问	LOT-GATED-CAPABILITY	not mapped to REVID	not-rendered
1	LOT-V003-001	tmp/wch-evt/application_notes/CH32V003RM.PDF	7a6bf439ecd68e0b87ffdd6765da2ef9b1796ce16084b7d1f25a658380c3bcfe	V1.9	194	175	批号第五位小于 2	SPI 高速读模式仅在时钟 2 分频时有效	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	not-rendered
1	LOT-X103-001	tmp/wch-evt/application_notes/CH32xRM.PDF	b4ade26ba00e0f03ea8c13d89badf5491bcdebbfa10957c4839ecc60f34b3cad	V2.0	286	210	批号第五位小于等于 5	SPI 高速读模式仅在时钟 2 分频时有效	DOCUMENTED-LOT-LIMITATION	not mapped to REVID	not-rendered
1	LOT-X315-001	tmp/wch-evt/application_notes/CH32X315RM.PDF	b6a752f9e9bdbb1d1fd9c8ba62f6e52633620c06c0d21fbc450925541a0c2785	V1.1	310	13	批号第五位大于 0	时钟树中标蓝功能可用	LOT-GATED-CAPABILITY	not mapped to REVID	not-rendered
1	LOT-H417-GUIDE-001	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/PUB/CH32H417∆¿π¿∞ÂÀµ√˜ È.pdf	14ea6def0bf9288233d32080b9f0541767f76f3a21b0417dbf832f0f0faf4d7b	V1.1-local	12	11	批号第五位不为 0	支持 WCHISPTool 的 USB/串口下载	LOT-GATED-CAPABILITY	not mapped to REVID	not-rendered
